"Time","value"
2025-07-30 12:05:00,184.9 K
2025-07-30 12:05:15,187.8 K
2025-07-30 12:05:30,190.7 K
2025-07-30 12:05:45,193.7 K
2025-07-30 12:06:00,196.0 K
2025-07-30 12:06:15,199.0 K
2025-07-30 12:06:30,201.5 K
2025-07-30 12:06:45,203.8 K
2025-07-30 12:07:00,206.6 K
2025-07-30 12:07:15,208.9 K
2025-07-30 12:07:30,211.5 K
2025-07-30 12:07:45,214.0 K
2025-07-30 12:08:00,216.8 K
2025-07-30 12:08:15,219.2 K
2025-07-30 12:08:30,221.6 K
2025-07-30 12:08:45,224.0 K
2025-07-30 12:09:00,226.3 K
2025-07-30 12:09:15,229.1 K
2025-07-30 12:09:30,231.2 K
2025-07-30 12:09:45,233.4 K
2025-07-30 12:10:00,235.9 K
2025-07-30 12:10:15,238.2 K
2025-07-30 12:10:30,240.5 K
2025-07-30 12:10:45,243.0 K
2025-07-30 12:11:00,245.2 K
2025-07-30 12:11:15,247.6 K
2025-07-30 12:11:30,250.5 K
2025-07-30 12:11:45,252.2 K
2025-07-30 12:12:00,254.3 K
2025-07-30 12:12:30,258.8 K
2025-07-30 12:12:45,260.9 K
2025-07-30 12:13:00,263.0 K
2025-07-30 12:13:15,265.5 K
2025-07-30 12:13:30,267.8 K
2025-07-30 12:13:45,269.7 K
2025-07-30 12:14:00,271.9 K
2025-07-30 12:14:15,273.5 K
2025-07-30 12:14:30,275.6 K
2025-07-30 12:14:45,277.4 K
2025-07-30 12:15:00,279.5 K
2025-07-30 12:15:15,281.7 K
2025-07-30 12:15:30,283.5 K
2025-07-30 12:15:45,285.5 K
2025-07-30 12:16:00,287.4 K
2025-07-30 12:16:15,289.4 K
2025-07-30 12:16:30,291.2 K
2025-07-30 12:16:45,293.1 K
2025-07-30 12:17:00,295.3 K
2025-07-30 12:17:15,297.1 K
2025-07-30 12:17:30,299.0 K
2025-07-30 12:17:45,301.0 K
2025-07-30 12:18:00,302.9 K
2025-07-30 12:18:15,303.8 K
2025-07-30 12:18:30,304.0 K
2025-07-30 12:18:45,304.4 K
2025-07-30 12:19:00,304.5 K
2025-07-30 12:19:15,304.7 K
2025-07-30 12:19:30,304.7 K
2025-07-30 12:19:45,304.8 K
2025-07-30 12:20:00,304.5 K
2025-07-30 12:20:15,304.7 K
2025-07-30 12:20:30,304.5 K
2025-07-30 12:20:45,304.4 K
2025-07-30 12:21:00,304.4 K
2025-07-30 12:21:15,304.2 K
2025-07-30 12:21:30,304.2 K
2025-07-30 12:21:45,304.0 K
2025-07-30 12:22:00,303.8 K
2025-07-30 12:22:15,303.8 K
2025-07-30 12:22:30,303.7 K
2025-07-30 12:22:45,303.6 K
2025-07-30 12:23:00,303.6 K
2025-07-30 12:23:15,303.5 K
2025-07-30 12:23:30,303.3 K
2025-07-30 12:24:00,303.1 K
2025-07-30 12:24:15,303.0 K
2025-07-30 12:24:30,302.9 K
2025-07-30 12:24:45,302.8 K
2025-07-30 12:25:00,302.7 K
2025-07-30 12:25:15,302.6 K
2025-07-30 12:25:30,302.6 K
2025-07-30 12:25:45,302.4 K
2025-07-30 12:26:00,302.4 K
2025-07-30 12:26:15,302.2 K
2025-07-30 12:26:30,302.2 K
2025-07-30 12:26:45,302.2 K
2025-07-30 12:27:00,302.1 K
2025-07-30 12:27:30,302.0 K
2025-07-30 12:27:45,301.9 K
2025-07-30 12:28:00,301.8 K
2025-07-30 12:28:15,301.8 K
2025-07-30 12:28:30,301.7 K
2025-07-30 12:28:45,301.7 K
2025-07-30 12:29:00,301.6 K
2025-07-30 12:29:15,301.5 K
2025-07-30 12:29:30,301.5 K
2025-07-30 12:29:45,301.5 K
2025-07-30 12:30:00,301.5 K
2025-07-30 12:30:15,301.4 K
2025-07-30 12:30:30,301.3 K
2025-07-30 12:30:45,301.3 K
2025-07-30 12:31:00,301.3 K
2025-07-30 12:31:15,301.3 K
2025-07-30 12:31:30,301.2 K
2025-07-30 12:31:45,301.1 K
2025-07-30 12:32:00,301.1 K
2025-07-30 12:32:15,301.1 K
2025-07-30 12:32:30,301.1 K
2025-07-30 12:32:45,301.0 K
2025-07-30 12:33:00,301.0 K
2025-07-30 12:33:15,301.0 K
2025-07-30 12:33:30,301.0 K
2025-07-30 12:33:45,300.9 K
2025-07-30 12:34:00,300.9 K
2025-07-30 12:34:15,300.9 K
2025-07-30 12:34:30,300.9 K
2025-07-30 12:34:45,300.9 K
2025-07-30 12:35:00,300.8 K
2025-07-30 12:35:15,300.8 K
2025-07-30 12:35:30,300.8 K
2025-07-30 12:35:45,300.8 K
2025-07-30 12:36:00,300.8 K
2025-07-30 12:36:15,300.8 K
2025-07-30 12:36:30,300.8 K
2025-07-30 12:36:45,300.7 K
2025-07-30 12:37:00,300.7 K
2025-07-30 12:37:15,300.7 K
2025-07-30 12:37:30,300.7 K
2025-07-30 12:37:45,300.7 K
2025-07-30 12:38:00,300.7 K
2025-07-30 12:38:15,300.6 K
2025-07-30 12:38:30,300.7 K
2025-07-30 12:38:45,300.6 K
2025-07-30 12:39:00,300.7 K
2025-07-30 12:39:15,300.6 K
2025-07-30 12:39:30,300.6 K
2025-07-30 12:40:00,300.6 K
2025-07-30 12:40:15,300.6 K
2025-07-30 12:40:30,300.6 K
2025-07-30 12:40:45,300.5 K
2025-07-30 12:41:00,300.5 K
2025-07-30 12:41:15,300.6 K
2025-07-30 12:41:30,300.6 K
2025-07-30 12:41:45,300.5 K
2025-07-30 12:42:00,300.5 K
2025-07-30 12:42:15,300.5 K
2025-07-30 12:42:30,300.5 K
2025-07-30 12:42:45,300.5 K
2025-07-30 12:43:00,300.5 K
2025-07-30 12:43:15,300.5 K
2025-07-30 12:43:30,300.5 K
2025-07-30 12:43:45,300.5 K
2025-07-30 12:44:15,300.5 K
2025-07-30 12:44:30,300.5 K
2025-07-30 12:44:45,300.5 K
2025-07-30 12:45:00,300.5 K
2025-07-30 12:45:15,300.5 K
2025-07-30 12:45:30,300.5 K
2025-07-30 12:45:45,300.5 K
2025-07-30 12:46:00,300.4 K
2025-07-30 12:46:15,300.4 K
2025-07-30 12:46:30,300.4 K
2025-07-30 12:46:45,300.4 K
2025-07-30 12:47:00,300.5 K
2025-07-30 12:47:30,300.4 K
2025-07-30 12:47:45,300.5 K
2025-07-30 12:48:00,300.5 K
2025-07-30 12:48:15,300.4 K
2025-07-30 12:48:30,300.4 K
2025-07-30 12:48:45,300.4 K
2025-07-30 12:49:00,300.4 K
2025-07-30 12:49:15,300.4 K
2025-07-30 12:49:30,300.4 K
2025-07-30 12:49:45,300.4 K
2025-07-30 12:50:00,300.4 K
2025-07-30 12:50:30,300.4 K
2025-07-30 12:50:45,300.4 K
2025-07-30 12:51:00,300.4 K
